epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99227,1.26379,3.97214,1.51914,0.01784,0.66667,0.2701,0.24276,0.6021,3.09772,1.15187,1.111e-05,1.111e-05,1.111e-05
2,5.58846,1.05461,3.76907,1.2993,0.01928,0.66667,0.27437,0.24896,0.62118,3.1153,1.15979,3.3e-05,3.3e-05,3.3e-05
3,6.50548,1.08295,3.83133,1.30803,0.80794,0.39624,0.36859,0.3541,0.59112,2.45972,1.16468,5.44501e-05,5.44501e-05,5.44501e-05
4,7.6248,0.87468,2.59073,1.1574,0.43475,0.86667,0.6305,0.55373,0.57346,1.81476,1.10666,7.54602e-05,7.54602e-05,7.54602e-05
5,8.70974,0.70988,1.82007,1.15136,0.63367,0.93333,0.93539,0.83643,0.55036,2.15788,1.09906,9.60304e-05,9.60304e-05,9.60304e-05
6,9.40786,0.6797,1.173,1.052,0.51831,0.91834,0.94065,0.83974,0.54593,2.05831,1.07975,0.000116161,0.000116161,0.000116161
7,10.3309,0.63626,0.83801,1.01519,0.94311,0.73333,0.94065,0.80543,0.53258,1.18573,1.08371,0.000135851,0.000135851,0.000135851
8,10.9469,0.65796,0.85479,1.04839,0.86693,0.87882,0.938,0.81846,0.52456,0.6917,1.09084,0.000155101,0.000155101,0.000155101
9,11.4907,0.7876,1.07023,1.263,0.81985,0.93333,0.9356,0.72259,0.6944,0.88526,1.21679,0.000173911,0.000173911,0.000173911
10,12.4619,0.68242,1.01876,1.07496,0.82942,0.93333,0.93761,0.84711,0.53686,1.04868,1.09137,0.000192282,0.000192282,0.000192282
11,13.4002,0.72382,0.77229,1.14799,0.67352,0.93333,0.9356,0.79982,0.57614,1.03938,1.08672,0.000210212,0.000210212,0.000210212
12,14.0207,0.65608,0.79099,1.09827,0.67352,0.93333,0.9356,0.79982,0.57614,1.03938,1.08672,0.000227703,0.000227703,0.000227703
13,14.8372,0.69525,0.93359,1.05542,0.8423,0.72652,0.88679,0.7052,0.63325,0.99961,1.09275,0.000244753,0.000244753,0.000244753
14,15.4031,0.59286,0.76012,0.96646,0.89638,0.92675,0.9389,0.78277,0.67109,0.71391,1.12355,0.000261364,0.000261364,0.000261364
15,16.3692,0.68596,0.80225,1.01378,0.89638,0.92675,0.9389,0.78277,0.67109,0.71391,1.12355,0.000277534,0.000277534,0.000277534
16,17.4678,0.66947,0.97809,1.08246,0.93658,0.93333,0.947,0.8152,0.63678,0.7017,1.11918,0.000293265,0.000293265,0.000293265
17,18.4094,0.67856,0.77815,1.04883,0.82933,0.99636,0.995,0.84267,0.56401,0.69821,1.06928,0.000308556,0.000308556,0.000308556
18,19.363,0.60821,0.9373,1.0822,0.82933,0.99636,0.995,0.84267,0.56401,0.69821,1.06928,0.000323407,0.000323407,0.000323407
19,20.0952,0.57298,0.76875,1.01024,0.97129,0.94286,0.995,0.86592,0.52813,0.76984,1.05969,0.000337817,0.000337817,0.000337817
20,21.0349,0.63418,0.78389,1.03629,0.97129,0.94286,0.995,0.86592,0.52813,0.76984,1.05969,0.000351788,0.000351788,0.000351788
21,22.028,0.65071,0.75431,1.06086,0.9528,0.9071,0.995,0.89895,0.51485,0.56998,1.0393,0.000365319,0.000365319,0.000365319
22,23.1069,0.70274,0.83726,1.04855,0.9528,0.9071,0.995,0.89895,0.51485,0.56998,1.0393,0.00037841,0.00037841,0.00037841
23,24.4867,0.60366,0.76398,1.00914,0.81292,0.90474,0.962,0.8263,0.56151,0.78179,1.04321,0.000391061,0.000391061,0.000391061
24,25.1768,0.71273,0.74294,1.11884,0.81292,0.90474,0.962,0.8263,0.56151,0.78179,1.04321,0.000403272,0.000403272,0.000403272
25,26.0228,0.58937,0.72566,0.98844,0.78704,0.9406,0.81659,0.72403,0.54839,2.50463,1.04203,0.000415043,0.000415043,0.000415043
26,27.1192,0.60302,0.56911,0.99999,0.78704,0.9406,0.81659,0.72403,0.54839,2.50463,1.04203,0.000426374,0.000426374,0.000426374
27,27.8539,0.59352,0.60927,0.93303,0.78704,0.9406,0.81659,0.72403,0.54839,2.50463,1.04203,0.000437265,0.000437265,0.000437265
28,28.8262,0.63806,0.71029,0.99426,0.73983,0.99419,0.8557,0.76265,0.52554,1.85845,1.02691,0.000447716,0.000447716,0.000447716
29,29.3624,0.60787,0.64593,0.98007,0.73983,0.99419,0.8557,0.76265,0.52554,1.85845,1.02691,0.000457728,0.000457728,0.000457728
30,30.3332,0.71912,0.71427,1.10272,0.81325,0.97983,0.86233,0.73079,0.54384,1.10079,1.02512,0.000467299,0.000467299,0.000467299
31,31.2555,0.71269,0.76002,1.03133,0.81325,0.97983,0.86233,0.73079,0.54384,1.10079,1.02512,0.00047643,0.00047643,0.00047643
32,32.1855,0.69839,0.75963,1.03233,0.81325,0.97983,0.86233,0.73079,0.54384,1.10079,1.02512,0.000485121,0.000485121,0.000485121
33,33.2799,0.7142,0.83115,1.05048,0.77098,1,0.84575,0.73251,0.55054,1.13275,1.0289,0.000493373,0.000493373,0.000493373
34,34.4277,0.66474,0.8506,1.04697,0.77098,1,0.84575,0.73251,0.55054,1.13275,1.0289,0.000501184,0.000501184,0.000501184
35,35.6314,0.61755,0.72683,1.01469,0.77098,1,0.84575,0.73251,0.55054,1.13275,1.0289,0.000508556,0.000508556,0.000508556
36,36.8542,0.61453,0.66715,1.01058,0.82221,1,0.86233,0.72103,0.59413,0.85702,1.0739,0.000515487,0.000515487,0.000515487
37,37.8795,0.68222,0.67755,1.09347,0.82221,1,0.86233,0.72103,0.59413,0.85702,1.0739,0.000521979,0.000521979,0.000521979
38,38.9814,0.5496,0.63214,0.92495,0.82221,1,0.86233,0.72103,0.59413,0.85702,1.0739,0.000528031,0.000528031,0.000528031
39,39.8135,0.58429,0.53375,0.96129,0.92358,0.97562,0.995,0.88572,0.52262,0.57055,1.033,0.000533642,0.000533642,0.000533642
40,40.8655,0.60933,0.56093,1.04774,0.92358,0.97562,0.995,0.88572,0.52262,0.57055,1.033,0.000538814,0.000538814,0.000538814
41,42.0677,0.68102,0.71382,1.01872,0.92358,0.97562,0.995,0.88572,0.52262,0.57055,1.033,0.000543546,0.000543546,0.000543546
42,43.1208,0.63069,0.64262,0.98248,0.95781,0.9447,0.995,0.87902,0.52965,0.54738,1.03998,0.000547837,0.000547837,0.000547837
43,44.0734,0.63986,0.60684,1.02793,0.95781,0.9447,0.995,0.87902,0.52965,0.54738,1.03998,0.000551689,0.000551689,0.000551689
44,45.5337,0.58003,0.5602,0.89801,0.95781,0.9447,0.995,0.87902,0.52965,0.54738,1.03998,0.000555101,0.000555101,0.000555101
45,46.4091,0.54122,0.61415,0.94153,0.95781,0.9447,0.995,0.87902,0.52965,0.54738,1.03998,0.000558073,0.000558073,0.000558073
46,47.5226,0.53881,0.58946,0.97298,0.93754,1,0.995,0.89012,0.49161,0.56772,1.00866,0.000560605,0.000560605,0.000560605
47,48.8883,0.57233,0.55689,0.9629,0.93754,1,0.995,0.89012,0.49161,0.56772,1.00866,0.000562697,0.000562697,0.000562697
48,51.1537,0.56284,0.50423,0.92296,0.93754,1,0.995,0.89012,0.49161,0.56772,1.00866,0.000564349,0.000564349,0.000564349
49,53.5254,0.60126,0.6221,0.8999,0.93754,1,0.995,0.89012,0.49161,0.56772,1.00866,0.000565561,0.000565561,0.000565561
50,55.8427,0.60156,0.57058,0.9775,0.93893,1,0.995,0.90995,0.49563,0.52262,1.00779,0.000566333,0.000566333,0.000566333
51,58.2335,0.5525,0.48155,0.89644,0.93893,1,0.995,0.90995,0.49563,0.52262,1.00779,0.000561055,0.000561055,0.000561055
52,60.5678,0.5464,0.454,0.92089,0.93893,1,0.995,0.90995,0.49563,0.52262,1.00779,0.000550056,0.000550056,0.000550056
53,63.0085,0.52627,0.4456,0.91213,0.93893,1,0.995,0.90995,0.49563,0.52262,1.00779,0.000539057,0.000539057,0.000539057
54,65.5257,0.55524,0.53333,0.97631,0.88541,0.98769,0.995,0.88013,0.52256,0.6072,1.00559,0.000528058,0.000528058,0.000528058
55,67.2343,0.61999,0.54045,1.0033,0.88541,0.98769,0.995,0.88013,0.52256,0.6072,1.00559,0.000517059,0.000517059,0.000517059
56,68.9337,0.48562,0.47723,0.87059,0.88541,0.98769,0.995,0.88013,0.52256,0.6072,1.00559,0.00050606,0.00050606,0.00050606
57,71.1496,0.52987,0.51499,0.91235,0.88541,0.98769,0.995,0.88013,0.52256,0.6072,1.00559,0.000495062,0.000495062,0.000495062
58,73.4404,0.54614,0.48763,1.03019,0.89306,0.9895,0.995,0.90338,0.53859,0.68307,1.01959,0.000484063,0.000484063,0.000484063
59,75.7306,0.53687,0.48523,0.92994,0.89306,0.9895,0.995,0.90338,0.53859,0.68307,1.01959,0.000473064,0.000473064,0.000473064
60,77.8795,0.52985,0.48946,0.96689,0.89306,0.9895,0.995,0.90338,0.53859,0.68307,1.01959,0.000462065,0.000462065,0.000462065
61,80.2031,0.53565,0.54468,0.96399,0.89306,0.9895,0.995,0.90338,0.53859,0.68307,1.01959,0.000451066,0.000451066,0.000451066
62,82.4592,0.61418,0.54652,0.96583,0.8401,1,0.995,0.86693,0.54833,1.06712,1.02737,0.000440067,0.000440067,0.000440067
63,84.7187,0.60212,0.57898,1.04123,0.8401,1,0.995,0.86693,0.54833,1.06712,1.02737,0.000429068,0.000429068,0.000429068
64,86.9693,0.5829,0.46487,0.95426,0.8401,1,0.995,0.86693,0.54833,1.06712,1.02737,0.000418069,0.000418069,0.000418069
